"LODGEMENT DATE","LOCALITY NAME","POSTCODE","WEEKLY RENT AMOUNT"
"01-JAN-25","PERTH","6000","1100"
"01-JAN-25","PERTH","6000","350"
"01-JAN-25","PERTH","6000","570"
"01-JAN-25","PERTH","6000","600"
"01-JAN-25","PERTH","6000","434"
"01-JAN-25","PERTH","6000","434"
"01-JAN-25","PERTH","6000","350"
"01-JAN-25","PERTH","6000","644"
"01-JAN-25","PERTH","6000","750"
"01-JAN-25","HIGHGATE","6003","820"
"01-JAN-25","Highgate","6003","720"
"01-JAN-25","NORTHBRIDGE","6003","375"
"01-JAN-25","EAST PERTH","6004","700"
"01-JAN-25","EAST PERTH","6004","840"
"01-JAN-25","WEST PERTH","6005","420"
"01-JAN-25","WEST LEEDERVILLE","6007","500"
"01-JAN-25","SUBIACO","6008","1400"
"01-JAN-25","SUBIACO","6008","1050"
"01-JAN-25","NEDLANDS","6009","1200"
"01-JAN-25","NEDLANDS","6009","1650"
"01-JAN-25","Nedlands","6009","1700"
"01-JAN-25","COTTESLOE","6011","1600"
"01-JAN-25","WEMBLEY","6014","560"
"01-JAN-25","OSBORNE PARK","6017","620"
"01-JAN-25","OSBORNE PARK","6017","570"
"01-JAN-25","OSBORNE PARK","6017","575"
"01-JAN-25","OSBORNE PARK","6017","420"
"01-JAN-25","DOUBLEVIEW","6018","1000"
"01-JAN-25","DOUBLEVIEW","6018","475"
"01-JAN-25","KARRINYUP","6018","1250"
"01-JAN-25","BALCATTA","6021","230"
"01-JAN-25","GREENWOOD","6024","560"
"01-JAN-25","HILLARYS","6025","750"
"01-JAN-25","CLARKSON","6030","650"
"01-JAN-25","CLARKSON","6030","650"
"01-JAN-25","MINDARIE","6030","800"
"01-JAN-25","YANCHEP","6035","630"
"01-JAN-25","TWO ROCKS","6037","580"
"01-JAN-25","TWO ROCKS","6037","580"
"01-JAN-25","COOLBINIA","6050","1000"
"01-JAN-25","MAYLANDS","6051","700"
"01-JAN-25","BAYSWATER","6053","525"
"01-JAN-25","FORRESTFIELD","6058","650"
"01-JAN-25","DIANELLA","6059","800"
"01-JAN-25","TUART HILL","6060","700"
"01-JAN-25","MIRRABOOKA","6061","650"
"01-JAN-25","MORLEY","6062","695"
